Expression,Code
alarm bell,noun-noun
alarm bells start to ring,idiom
alarm call,noun-noun
alarm clock,noun-noun
alarm system,noun-noun
alas and alack,idiom
alas poor yorick,idiom
"alas, poor yorick! i knew him, horatio",idiom
alaska king crab,noun-noun
albatross around one's neck,idiom
albatross around your neck,idiom
albatross round one's neck,idiom
albert chain,noun-noun
albert hall,noun-noun
alcaic verse,noun-noun
alcohol abuse,noun-noun
alcohol addiction,noun-noun
alcohol poisoning,noun-noun
alcohol radical,noun-noun
alcohol thermometer,noun-noun
alcoholic abuse,idiom
alcoholic beverage,noun-noun
alcoholic drink,noun-noun
alcoholic drinks,noun-noun
alcoholics anonymous,noun-noun
aldaric acid,noun-noun
alder tree,noun-noun
ale drinker,noun-noun
ale silver,noun-noun
alendronic acid,noun-noun
aleutian islands,noun-noun
alexander technique,noun-noun
alfalfa sprouts,noun-noun
algal bloom,noun-noun
algarroba bean,noun-noun
algebraic number,noun-noun
algorithm error,noun-noun
ali baba,noun-noun
alice band,noun-noun
alice in wonderland,noun-noun
alight on,noun-noun
alight upon,noun-noun
alignment diagram,noun-noun
alike as two peas in a pod,noun-noun
alimentary canal,noun-noun
alimentary tract,noun-noun
aliterate person,noun-noun
alive and kicking,noun-noun
alive with,noun-noun
alkali metal,noun-noun
alkaline earth metal,noun-noun
alkanium ion,noun-noun
alkyl group,noun-noun
all aboard,idiom
all about,idiom
all agog,idiom
all along,idiom
all and sundry,idiom
all around,idiom
all arounder,idiom
all at once,idiom
all at sea,idiom
all bark and no bite,idiom
all bets are off,idiom
all better,idiom
all blacks,idiom
all brawn and no brain,idiom
all but,idiom
all by herself,noun-noun
all by himself,noun-noun
all by itself,noun-noun
all by myself,noun-noun
all by ourselves,noun-noun
all by themselves,noun-noun
all by yourself,noun-noun
all by yourselves,noun-noun
all caps,idiom
all cats are gray at night,idiom
all clear,noun-noun
all comers,noun-noun
all correct,noun-noun
all day long,noun-noun
all downhill,idiom
all dressed up and nowhere to go,idiom
all duck or no dinner,idiom
all ears,idiom
all eyes,idiom
all eyes and ears,idiom
all fingers and thumbs,idiom
all fools' day,idiom
all for,idiom
all for the best,idiom
all fours,idiom
all fur coat and no knickers,idiom
all get out,idiom
all get-out,idiom
all goes well,idiom
all gone,idiom
all good things come to he who waits,idiom
all good things must come to an end,idiom
all greek to me,idiom
all hallows' day,idiom
all hands on deck,idiom
all hat and no cattle,idiom
all hell breaks loose,idiom
all his geese are swans,idiom
all holiday,idiom
all hollow,idiom
all important,idiom
all in,idiom
all in a day's work,idiom
all in a matter of,idiom
all in all,idiom
all in good time,idiom
all in one,idiom
all in the same boat,idiom
all inclusive,noun-noun
all intents and purposes,idiom
all is grist that comes to the mill,idiom
all is well that ends well,idiom
all it's cracked up to be,idiom
all jokes aside,idiom
all joking aside,idiom
all kidding aside,idiom
all kinds of,idiom
all mouth and no trousers,idiom
all nations,noun-noun
all of a sudden,idiom
all of the above,idiom
all one's eggs in one basket,idiom
all one's life's worth,idiom
all or none,idiom
all or nothing,idiom
all out,idiom
all over,idiom
all over again,idiom
all over bar the shouting,idiom
all over but the shouting,idiom
all over hell's half acre,idiom
all over the board,idiom
all over the map,idiom
all over the place,idiom
all over with,idiom
all present and accounted for,idiom
all present and correct,idiom
all publicity is good publicity,idiom
all right,idiom
all rights reserved,idiom
all riled up,idiom
all roads lead to rome,idiom
all round,idiom
all saints' day,idiom
all set,idiom
all shapes and sizes,idiom
all shook up,idiom
all show,idiom
"all singing, all dancing",idiom
all sizzle and no steak,idiom
all skin and bone,idiom
all sorts of,idiom
all souls' day,idiom
all spruced up,idiom
all sweetness and light,idiom
all systems go,idiom
all talk and no action,idiom
all talk and no cider,idiom
all teed up,idiom
all that,idiom
all that glisters is not gold,idiom
all that glitters is not gold,idiom
all that jazz,idiom
all the better for,idiom
all the better for something,idiom
all the livelong day,idiom
all the marbles,idiom
all the rage,idiom
all the same,idiom
all the time,idiom
all the way,idiom
all the way to egery and back,idiom
all the world loves a lover,idiom
all the world's a stage,idiom
all things being equal,idiom
all things come to those that wait,idiom
all things come to those who wait,idiom
all things considered,idiom
all things must pass,idiom
all things to all people,idiom
all thumbs,idiom
all to cock,idiom
all to smash,idiom
all together,idiom
all together now,idiom
all told,idiom
all too,idiom
all up with,idiom
all very well,idiom
all washed up,idiom
all wet,idiom
all wool and a yard wide,idiom
all work and no play makes jack a dull boy,idiom
all worked up,idiom
all y'all,noun-noun
all y'all's,noun-noun
all year round,noun-noun
all you can eat,idiom
all you need is love,idiom
all your base are belong to us,idiom
all your eggs in one basket,idiom
all-a-mort,idiom
all-american,idiom
all-around,idiom
all-clear,idiom
all-day sucker,idiom
all-in wrestling,idiom
all-inclusive,idiom
all-ordinaries index,idiom
all-out,idiom
all-over oneself,idiom
all-points bulletin,idiom
all-purpose flour,noun-noun
all-singing all-dancing,idiom
"all-singing, all-dancing",idiom
all-star,idiom
all-star game,idiom
all-terrain bike,noun-noun
all-terrain board,noun-noun
all-terrain vehicle,noun-noun
all-wheel drive,noun-noun
all's fair in love and war,idiom
all's for the best in the best of all possible worlds,idiom
all's well that ends well,idiom
alla marcia,noun-noun
allan-herndon-dudley syndrome,noun-noun
allegro ma non troppo,idiom
allegro non troppo,idiom
allemande sauce,noun-noun
allen ginsberg,noun-noun
allen key,noun-noun
allen screw,noun-noun
allen wrench,noun-noun
allergic reaction,noun-noun
alley cat,idiom
alley oop,idiom
alligator clip,noun-noun
alligator pear,noun-noun
alligator snapper,participle verb
alligator wrench,noun-noun
allocation of resources,participle verb
allocation unit,noun-noun
allow for,participle verb
allow in,participle verb
allow of,participle verb
alloy cast iron,noun-noun
alloy iron,noun-noun
alloy steel,noun-noun
alloying element,noun-noun
allude to,participle verb
alluvial cone,noun-noun
alluvial deposit,noun-noun
alluvial fan,noun-noun
alluvial plain,noun-noun
alluvial sediment,noun-noun
alluvial soil,noun-noun
ally with,participle verb
allyl group,noun-noun
allyl isothiocyanate,noun-noun
alma mater,noun-noun
almighty dollar,idiom
almond cake,noun-noun
almond cookie,noun-noun
almond extract,noun-noun
almond milk,noun-noun
almond oil,noun-noun
almond paste,noun-noun
almond tree,noun-noun
almost too good to be true,idiom
alms box,noun-noun
alms dish,noun-noun
alms tray,noun-noun
aloe vera,noun-noun
aloha shirt,noun-noun
alone in a crowd,idiom
along about,noun-noun
along for the ride,idiom
along in years,idiom
along the building,noun-noun
along the lines,idiom
along the lines of,idiom
along the wall,noun-noun
along those lines,idiom
along with,noun-noun
aloo gosht,noun-noun
alpha and omega,noun-noun
alpha blocker,noun-noun
alpha brass,noun-noun
alpha cen,noun-noun
alpha geek,idiom
alpha male,noun-noun
alpha mom,idiom
alpha particle,noun-noun
alpha ray,noun-noun
alpha rays,noun-noun
alpha receptor,noun-noun
alpha test,noun-noun
alpha version,noun-noun
alpha wave,noun-noun
alphabet soup,noun-noun
alphabetic character,noun-noun
alphabetic writing,noun-noun
alphabetical order,noun-noun
alphanumeric display,noun-noun
alpine ash,noun-noun
alpine hat,noun-noun
alpine lift,noun-noun
alpine plant,noun-noun
alpine sunflower,noun-noun
also known as,noun-noun
also-ran,participle verb
alt key,noun-noun
altar boy,noun-noun
altar cloth,noun-noun
altar screen,noun-noun
altar wine,noun-noun
alter ego,noun-noun
alternate angle,noun-noun
alternate universe,noun-noun
alternating current,noun-noun
alternating electric current,noun-noun
alternating function,noun-noun
alternative birthing,noun-noun
alternative country,noun-noun
alternative fuel,noun-noun
alternative hypothesis,noun-noun
alternative lifestyle,noun-noun
alternative medicine,noun-noun
altitude sickness,noun-noun
alto clef,noun-noun
alto saxophone,noun-noun
aluminium bronze,noun-noun
aluminium foil,noun-noun
aluminium oxide,noun-noun
aluminum foil,noun-noun
aluminum shower,noun-noun
aluminum smelter,noun-noun
alveolar bone,noun-noun
alveolar consonant,noun-noun
alveolar ridge,noun-noun
"always a bridesmaid, never a bride",idiom
always in style,idiom
"always the bridesmaid, never the bride",idiom
alzheimer disease,noun-noun
alzheimer's disease,noun-noun
am i right or am i right,idiom
amateur dramatic,idiom
amateur dramatics,idiom
amateur hour,idiom
amateur photographer,noun-noun
amazon lily,noun-noun
amazon river,noun-noun
ambassador of morocco,noun-noun
amber alert,noun-noun
amber fluid,noun-noun
amber gambler,noun-noun
amber liquid,noun-noun
amber nectar,noun-noun
amber traffic light,noun-noun
ambient music,noun-noun
amble along,noun-noun
amble off,noun-noun
ambreic acid,noun-noun
ambulance chaser,noun-noun
ambulatory plague,noun-noun
ambush marketing,noun-noun
amebic dysentery,noun-noun
amen corner,noun-noun
amen curler,noun-noun
amended return,noun-noun
america's cup,noun-noun
american aloe,noun-noun
american as apple pie,noun-noun
american bison,noun-noun
american breakfast,noun-noun
american cheese,noun-noun
american creeper,noun-noun
american cress,noun-noun
american dog tick,noun-noun
american dream,noun-noun
american eagle,noun-noun
american egret,noun-noun
american elk,noun-noun
american elm,noun-noun
american english,noun-noun
american express,noun-noun
american flag,noun-noun
american football,noun-noun
american hazel,noun-noun
american hop,noun-noun
american indian,noun-noun
american league,noun-noun
american legion,noun-noun
american lobster,noun-noun
american parasol,noun-noun
american plan,noun-noun
american rattlebox,noun-noun
american revolution,noun-noun
american sign language,noun-noun
american spanish,noun-noun
american thanksgiving,noun-noun
american way,noun-noun
amine scrubber,noun-noun
amine ylide,noun-noun
amino acid,noun-noun
amino aldehyde,noun-noun
amino group,noun-noun
aminomethylbenzoic acid,noun-noun
ammonia clock,noun-noun
ammonia water,noun-noun
ammonium hydroxide,noun-noun
ammonium ion,noun-noun
ammonium sulfate,noun-noun
ammunition chest,noun-noun
amnesty international,noun-noun
amniotic cavity,noun-noun
amniotic fluid,noun-noun
amoebic dysentery,noun-noun
amount of money,noun-noun
amount to,noun-noun
amount to the same thing,idiom
amour propre,idiom
amped up,idiom
amphibian family,noun-noun
amphibious aircraft,noun-noun
amphibious car,noun-noun
amphibious vehicle,noun-noun
amplifier glass,noun-noun
amplitude distortion,noun-noun
amplitude level,noun-noun
amplitude modulation,noun-noun
amur leopard,noun-noun
amusement arcade,noun-noun
amusement park,noun-noun
amyl nitrate,noun-noun
amyloid plaque,noun-noun
an accident waiting to happen,idiom
an accomplished fact,noun-noun
an acid test,noun-noun
an acquired taste,idiom
an act of god,idiom
an albatross around one's neck,idiom
an amount of,noun-noun
an apple a day,idiom
an apple a day keeps the doctor away,idiom
an apple polisher,participle verb
an arm and a leg,idiom
an army marches on its stomach,idiom
an awful lot,idiom
an axe to grind,idiom
an elephant in the room,idiom
an englishman's home is his castle,idiom
an eye for an eye,idiom
"an eye for an eye, a tooth for a tooth",idiom
an ill wind,idiom
an ill wind that blows no one any good,idiom
an offer he can't refuse,idiom
an offer one can't refuse,idiom
an old flame,idiom
an open and shut case,idiom
an ounce of prevention is worth a pound of cure,idiom
an oxford scholar,noun-noun
an uphill battle,idiom
an uphill struggle,idiom
anabolic steroid,noun-noun
anaerobic respiration,noun-noun
anal intercourse,noun-noun
anal retentive,noun-noun
anal sex,noun-noun
anal sphincter,noun-noun
anally retentive,noun-noun
analog clock,noun-noun
analog computer,noun-noun
analog hole,noun-noun
analog signal,noun-noun
analog watch,noun-noun
analysis of variance,noun-noun
analyst programmer,noun-noun
analytic thinking,noun-noun
analytical balance,noun-noun
analytical geometry,noun-noun
analytical review,noun-noun
anaphylactic shock,noun-noun
anatomic dead space,noun-noun
anatomically correct,noun-noun
anatumomab mafenatox,noun-noun
anchimeric assistance,noun-noun
anchor baby,noun-noun
anchor chain,noun-noun
anchor light,noun-noun
anchor nut,noun-noun
anchor ring,noun-noun
anchor rope,noun-noun
anchorage ground,noun-noun
anchors aweigh,noun-noun
anchovy dressing,noun-noun
anchovy pear,noun-noun
ancien regime,noun-noun
ancient egypt,noun-noun
ancient greek,noun-noun
ancient history,noun-noun
ancient monument,noun-noun
ancient rome,noun-noun
ancient times,noun-noun
and all,idiom
and all that,idiom
and all that jazz,idiom
